Dataset,Model,Score_Type,n,m,Algorithm,Trial,FCP,Relative_Length,Set_Size
Synthetic,RANKNET,RA,500,1000,Oracle,0,0.908,0.23550466666666667,353.257
Synthetic,RANKNET,RA,500,1000,DCR,0,0.916,0.24020666666666668,360.31
Synthetic,RANKNET,RA,500,1000,MDCR,0,0.916,0.23903133333333335,358.547
Synthetic,RANKNET,RA,500,1000,TCPR,0,0.977,0.315872,473.808
Synthetic,RANKNET,VA,500,1000,Oracle,0,0.902,0.21814733333333333,327.221
Synthetic,RANKNET,VA,500,1000,DCR,0,0.927,0.231532,347.298
Synthetic,RANKNET,VA,500,1000,MDCR,0,0.927,0.23160133333333333,347.402
Synthetic,RANKNET,VA,500,1000,TCPR,0,0.98,0.303736,455.604
Synthetic,RANKNET,RA,500,1000,Oracle,1,0.909,0.235144,352.716
Synthetic,RANKNET,RA,500,1000,DCR,1,0.926,0.24561533333333332,368.423
Synthetic,RANKNET,RA,500,1000,MDCR,1,0.926,0.24561533333333332,368.423
Synthetic,RANKNET,RA,500,1000,TCPR,1,0.98,0.32013199999999997,480.198
Synthetic,RANKNET,VA,500,1000,Oracle,1,0.918,0.22167933333333334,332.519
Synthetic,RANKNET,VA,500,1000,DCR,1,0.932,0.22953866666666667,344.308
Synthetic,RANKNET,VA,500,1000,MDCR,1,0.93,0.22838333333333333,342.575
Synthetic,RANKNET,VA,500,1000,TCPR,1,0.984,0.30789,461.835
Synthetic,RANKNET,RA,500,1000,Oracle,2,0.864,0.21540666666666666,323.11
Synthetic,RANKNET,RA,500,1000,DCR,2,0.9,0.23418333333333333,351.275
Synthetic,RANKNET,RA,500,1000,MDCR,2,0.9,0.23418333333333333,351.275
Synthetic,RANKNET,RA,500,1000,TCPR,2,0.973,0.30812866666666666,462.193
Synthetic,RANKNET,VA,500,1000,Oracle,2,0.887,0.209052,313.578
Synthetic,RANKNET,VA,500,1000,DCR,2,0.917,0.225098,337.647
Synthetic,RANKNET,VA,500,1000,MDCR,2,0.917,0.22501400000000002,337.521
Synthetic,RANKNET,VA,500,1000,TCPR,2,0.98,0.30921933333333335,463.829
Synthetic,RANKNET,RA,500,1000,Oracle,3,0.906,0.23306933333333332,349.604
Synthetic,RANKNET,RA,500,1000,DCR,3,0.921,0.24233,363.495
Synthetic,RANKNET,RA,500,1000,MDCR,3,0.921,0.24233,363.495
Synthetic,RANKNET,RA,500,1000,TCPR,3,0.979,0.32185400000000003,482.781
Synthetic,RANKNET,VA,500,1000,Oracle,3,0.913,0.21795133333333336,326.927
