Dataset,Model,Score_Type,n,m,Algorithm,Trial,FCP,Relative_Length,Set_Size
Synthetic,RANKNET,RA,500,1000,DCR,0,0.913,0.22979,344.685
Synthetic,RANKNET,RA,500,1000,MDCR,0,0.913,0.22979,344.685
Synthetic,RANKNET,VA,500,1000,DCR,0,0.917,0.21505733333333335,322.586
Synthetic,RANKNET,VA,500,1000,MDCR,0,0.918,0.215436,323.154
Synthetic,RANKNET,RA,500,1000,DCR,1,0.917,0.23216133333333336,348.242
Synthetic,RANKNET,RA,500,1000,MDCR,1,0.917,0.23216133333333336,348.242
Synthetic,RANKNET,VA,500,1000,DCR,1,0.923,0.21830133333333332,327.452
Synthetic,RANKNET,VA,500,1000,MDCR,1,0.923,0.21896600000000002,328.449
Synthetic,RANKNET,RA,500,1000,DCR,2,0.901,0.223598,335.397
Synthetic,RANKNET,RA,500,1000,MDCR,2,0.898,0.22242199999999998,333.633
Synthetic,RANKNET,VA,500,1000,DCR,2,0.915,0.21769266666666665,326.539
Synthetic,RANKNET,VA,500,1000,MDCR,2,0.915,0.2176193333333333,326.429
Synthetic,RANKNET,RA,500,1000,DCR,3,0.885,0.21775133333333335,326.627
Synthetic,RANKNET,RA,500,1000,MDCR,3,0.886,0.21893400000000002,328.401
Synthetic,RANKNET,VA,500,1000,DCR,3,0.914,0.21465800000000002,321.987
Synthetic,RANKNET,VA,500,1000,MDCR,3,0.914,0.2135773333333333,320.366
Synthetic,RANKNET,RA,500,1000,DCR,4,0.909,0.227678,341.517
Synthetic,RANKNET,RA,500,1000,MDCR,4,0.909,0.227678,341.517
Synthetic,RANKNET,VA,500,1000,DCR,4,0.92,0.217048,325.572
Synthetic,RANKNET,VA,500,1000,MDCR,4,0.919,0.21634133333333333,324.512
Synthetic,RANKNET,RA,500,1000,DCR,5,0.911,0.23363066666666668,350.446
Synthetic,RANKNET,RA,500,1000,MDCR,5,0.911,0.232464,348.696
Synthetic,RANKNET,VA,500,1000,DCR,5,0.917,0.21940066666666666,329.101
Synthetic,RANKNET,VA,500,1000,MDCR,5,0.915,0.21834,327.51
Synthetic,RANKNET,RA,500,1000,DCR,6,0.934,0.24104333333333333,361.565
Synthetic,RANKNET,RA,500,1000,MDCR,6,0.934,0.24104333333333333,361.565
Synthetic,RANKNET,VA,500,1000,DCR,6,0.935,0.222826,334.239
Synthetic,RANKNET,VA,500,1000,MDCR,6,0.935,0.22290666666666667,334.36
Synthetic,RANKNET,RA,500,1000,DCR,7,0.903,0.22715733333333332,340.736
Synthetic,RANKNET,RA,500,1000,MDCR,7,0.903,0.22715733333333332,340.736
Synthetic,RANKNET,VA,500,1000,DCR,7,0.916,0.21568466666666666,323.527
Synthetic,RANKNET,VA,500,1000,MDCR,7,0.917,0.21633399999999997,324.501
Synthetic,RANKNET,RA,500,1000,DCR,8,0.915,0.2317846666666667,347.677
Synthetic,RANKNET,RA,500,1000,MDCR,8,0.915,0.2317846666666667,347.677
Synthetic,RANKNET,VA,500,1000,DCR,8,0.933,0.22455933333333333,336.839
Synthetic,RANKNET,VA,500,1000,MDCR,8,0.933,0.22467199999999998,337.008
Synthetic,RANKNET,RA,500,1000,DCR,9,0.934,0.24271733333333334,364.076
Synthetic,RANKNET,RA,500,1000,MDCR,9,0.934,0.24271733333333334,364.076
Synthetic,RANKNET,VA,500,1000,DCR,9,0.943,0.22726266666666667,340.894
Synthetic,RANKNET,VA,500,1000,MDCR,9,0.943,0.22749266666666665,341.239
Synthetic,RANKNET,RA,500,1000,DCR,10,0.913,0.230666,345.999
Synthetic,RANKNET,RA,500,1000,MDCR,10,0.911,0.229498,344.247
Synthetic,RANKNET,VA,500,1000,DCR,10,0.924,0.2162633333333333,324.395
Synthetic,RANKNET,VA,500,1000,MDCR,10,0.924,0.21615066666666666,324.226
Synthetic,RANKNET,RA,500,1000,DCR,11,0.902,0.224294,336.441
Synthetic,RANKNET,RA,500,1000,MDCR,11,0.902,0.224294,336.441
Synthetic,RANKNET,VA,500,1000,DCR,11,0.921,0.21677933333333332,325.169
Synthetic,RANKNET,VA,500,1000,MDCR,11,0.922,0.217212,325.818
Synthetic,RANKNET,RA,500,1000,DCR,12,0.921,0.236204,354.306
Synthetic,RANKNET,RA,500,1000,MDCR,12,0.922,0.23736733333333332,356.051
Synthetic,RANKNET,VA,500,1000,DCR,12,0.922,0.21772266666666668,326.584
Synthetic,RANKNET,VA,500,1000,MDCR,12,0.922,0.21783066666666664,326.746
Synthetic,RANKNET,RA,500,1000,DCR,13,0.92,0.23744333333333334,356.165
Synthetic,RANKNET,RA,500,1000,MDCR,13,0.92,0.23744333333333334,356.165
Synthetic,RANKNET,VA,500,1000,DCR,13,0.939,0.23020533333333332,345.308
Synthetic,RANKNET,VA,500,1000,MDCR,13,0.941,0.23098533333333335,346.478
Synthetic,RANKNET,RA,500,1000,DCR,14,0.939,0.24694933333333333,370.424
Synthetic,RANKNET,RA,500,1000,MDCR,14,0.94,0.24810200000000002,372.153
Synthetic,RANKNET,VA,500,1000,DCR,14,0.946,0.2299173333333333,344.876
Synthetic,RANKNET,VA,500,1000,MDCR,14,0.946,0.229872,344.808
Synthetic,RANKNET,RA,500,1000,DCR,15,0.909,0.23080466666666666,346.207
Synthetic,RANKNET,RA,500,1000,MDCR,15,0.909,0.23080466666666666,346.207
Synthetic,RANKNET,VA,500,1000,DCR,15,0.91,0.21500866666666665,322.513
Synthetic,RANKNET,VA,500,1000,MDCR,15,0.912,0.215484,323.226
Synthetic,RANKNET,RA,500,1000,DCR,16,0.916,0.23425866666666664,351.388
Synthetic,RANKNET,RA,500,1000,MDCR,16,0.917,0.23542733333333335,353.141
Synthetic,RANKNET,VA,500,1000,DCR,16,0.929,0.22171133333333334,332.567
Synthetic,RANKNET,VA,500,1000,MDCR,16,0.929,0.2214573333333333,332.186
Synthetic,RANKNET,RA,500,1000,DCR,17,0.905,0.22704133333333334,340.562
Synthetic,RANKNET,RA,500,1000,MDCR,17,0.905,0.22585733333333333,338.786
Synthetic,RANKNET,VA,500,1000,DCR,17,0.921,0.22062199999999998,330.933
Synthetic,RANKNET,VA,500,1000,MDCR,17,0.922,0.22136133333333333,332.042
Synthetic,RANKNET,RA,500,1000,DCR,18,0.91,0.2324706666666667,348.706
Synthetic,RANKNET,RA,500,1000,MDCR,18,0.91,0.23363733333333334,350.456
Synthetic,RANKNET,VA,500,1000,DCR,18,0.916,0.21465866666666666,321.988
Synthetic,RANKNET,VA,500,1000,MDCR,18,0.916,0.21492199999999997,322.383
Synthetic,RANKNET,RA,500,1000,DCR,19,0.916,0.23082533333333333,346.238
Synthetic,RANKNET,RA,500,1000,MDCR,19,0.917,0.23199133333333335,347.987
Synthetic,RANKNET,VA,500,1000,DCR,19,0.923,0.21577066666666667,323.656
Synthetic,RANKNET,VA,500,1000,MDCR,19,0.923,0.21583333333333332,323.75
Synthetic,RANKNET,RA,500,1000,DCR,20,0.899,0.22346133333333335,335.192
Synthetic,RANKNET,RA,500,1000,MDCR,20,0.897,0.222288,333.432
Synthetic,RANKNET,VA,500,1000,DCR,20,0.919,0.21895133333333336,328.427
Synthetic,RANKNET,VA,500,1000,MDCR,20,0.919,0.21916600000000003,328.749
Synthetic,RANKNET,RA,500,1000,DCR,21,0.938,0.24559266666666668,368.389
Synthetic,RANKNET,RA,500,1000,MDCR,21,0.94,0.246738,370.107
Synthetic,RANKNET,VA,500,1000,DCR,21,0.952,0.2331646666666667,349.747
Synthetic,RANKNET,VA,500,1000,MDCR,21,0.952,0.233876,350.814
Synthetic,RANKNET,RA,500,1000,DCR,22,0.9,0.226974,340.461
Synthetic,RANKNET,RA,500,1000,MDCR,22,0.902,0.22813866666666668,342.208
Synthetic,RANKNET,VA,500,1000,DCR,22,0.919,0.22144133333333332,332.162
Synthetic,RANKNET,VA,500,1000,MDCR,22,0.917,0.22091733333333333,331.376
Synthetic,RANKNET,RA,500,1000,DCR,23,0.901,0.22425666666666666,336.385
Synthetic,RANKNET,RA,500,1000,MDCR,23,0.903,0.22543733333333335,338.156
Synthetic,RANKNET,VA,500,1000,DCR,23,0.917,0.21580333333333332,323.705
Synthetic,RANKNET,VA,500,1000,MDCR,23,0.915,0.21438933333333335,321.584
Synthetic,RANKNET,RA,500,1000,DCR,24,0.905,0.2248166666666667,337.225
Synthetic,RANKNET,RA,500,1000,MDCR,24,0.905,0.2248166666666667,337.225
Synthetic,RANKNET,VA,500,1000,DCR,24,0.921,0.219412,329.118
Synthetic,RANKNET,VA,500,1000,MDCR,24,0.921,0.219412,329.118
Synthetic,RANKNET,RA,500,1000,DCR,25,0.902,0.22577533333333333,338.663
Synthetic,RANKNET,RA,500,1000,MDCR,25,0.902,0.22577533333333333,338.663
Synthetic,RANKNET,VA,500,1000,DCR,25,0.902,0.2099653333333333,314.948
Synthetic,RANKNET,VA,500,1000,MDCR,25,0.9,0.20940266666666665,314.104
Synthetic,RANKNET,RA,500,1000,DCR,26,0.918,0.23153133333333334,347.297
Synthetic,RANKNET,RA,500,1000,MDCR,26,0.918,0.23153133333333334,347.297
Synthetic,RANKNET,VA,500,1000,DCR,26,0.922,0.21541866666666665,323.128
Synthetic,RANKNET,VA,500,1000,MDCR,26,0.922,0.21507133333333336,322.607
Synthetic,RANKNET,RA,500,1000,DCR,27,0.91,0.22992666666666667,344.89
Synthetic,RANKNET,RA,500,1000,MDCR,27,0.91,0.22992666666666667,344.89
Synthetic,RANKNET,VA,500,1000,DCR,27,0.929,0.22179733333333335,332.696
Synthetic,RANKNET,VA,500,1000,MDCR,27,0.929,0.22160733333333332,332.411
Synthetic,RANKNET,RA,500,1000,DCR,28,0.88,0.21503466666666668,322.552
Synthetic,RANKNET,RA,500,1000,MDCR,28,0.881,0.21621933333333335,324.329
Synthetic,RANKNET,VA,500,1000,DCR,28,0.898,0.20741733333333331,311.126
Synthetic,RANKNET,VA,500,1000,MDCR,28,0.898,0.20699133333333336,310.487
Synthetic,RANKNET,RA,500,1000,DCR,29,0.922,0.23792466666666667,356.887
Synthetic,RANKNET,RA,500,1000,MDCR,29,0.918,0.23676066666666667,355.141
Synthetic,RANKNET,VA,500,1000,DCR,29,0.916,0.21444133333333332,321.662
Synthetic,RANKNET,VA,500,1000,MDCR,29,0.916,0.21429733333333334,321.446
Synthetic,RANKNET,RA,500,1000,DCR,30,0.892,0.21795266666666666,326.929
Synthetic,RANKNET,RA,500,1000,MDCR,30,0.892,0.21795266666666666,326.929
Synthetic,RANKNET,VA,500,1000,DCR,30,0.903,0.20639,309.585
Synthetic,RANKNET,VA,500,1000,MDCR,30,0.903,0.20632399999999998,309.486
Synthetic,RANKNET,RA,500,1000,DCR,31,0.916,0.23298466666666665,349.477
Synthetic,RANKNET,RA,500,1000,MDCR,31,0.916,0.23181866666666667,347.728
Synthetic,RANKNET,VA,500,1000,DCR,31,0.919,0.21490733333333334,322.361
Synthetic,RANKNET,VA,500,1000,MDCR,31,0.921,0.21591666666666667,323.875
Synthetic,RANKNET,RA,500,1000,DCR,32,0.905,0.22746,341.19
Synthetic,RANKNET,RA,500,1000,MDCR,32,0.905,0.22746,341.19
Synthetic,RANKNET,VA,500,1000,DCR,32,0.919,0.21714933333333333,325.724
Synthetic,RANKNET,VA,500,1000,MDCR,32,0.919,0.21666533333333332,324.998
Synthetic,RANKNET,RA,500,1000,DCR,33,0.922,0.23626333333333333,354.395
Synthetic,RANKNET,RA,500,1000,MDCR,33,0.922,0.23626333333333333,354.395
Synthetic,RANKNET,VA,500,1000,DCR,33,0.936,0.22237333333333334,333.56
Synthetic,RANKNET,VA,500,1000,MDCR,33,0.934,0.22175199999999998,332.628
Synthetic,RANKNET,RA,500,1000,DCR,34,0.909,0.228188,342.282
Synthetic,RANKNET,RA,500,1000,MDCR,34,0.909,0.228188,342.282
Synthetic,RANKNET,VA,500,1000,DCR,34,0.918,0.21664266666666668,324.964
Synthetic,RANKNET,VA,500,1000,MDCR,34,0.918,0.2164126666666667,324.619
Synthetic,RANKNET,RA,500,1000,DCR,35,0.874,0.21072533333333335,316.088
Synthetic,RANKNET,RA,500,1000,MDCR,35,0.874,0.21072533333333335,316.088
Synthetic,RANKNET,VA,500,1000,DCR,35,0.892,0.2074126666666667,311.119
Synthetic,RANKNET,VA,500,1000,MDCR,35,0.893,0.20756333333333335,311.345
Synthetic,RANKNET,RA,500,1000,DCR,36,0.891,0.21865933333333332,327.989
Synthetic,RANKNET,RA,500,1000,MDCR,36,0.891,0.21865933333333332,327.989
Synthetic,RANKNET,VA,500,1000,DCR,36,0.898,0.20859999999999998,312.9
Synthetic,RANKNET,VA,500,1000,MDCR,36,0.898,0.20851999999999998,312.78
Synthetic,RANKNET,RA,500,1000,DCR,37,0.888,0.21941266666666667,329.119
Synthetic,RANKNET,RA,500,1000,MDCR,37,0.888,0.21941266666666667,329.119
Synthetic,RANKNET,VA,500,1000,DCR,37,0.912,0.212932,319.398
Synthetic,RANKNET,VA,500,1000,MDCR,37,0.912,0.21373000000000003,320.595
Synthetic,RANKNET,RA,500,1000,DCR,38,0.939,0.24744133333333332,371.162
Synthetic,RANKNET,RA,500,1000,MDCR,38,0.939,0.24744133333333332,371.162
Synthetic,RANKNET,VA,500,1000,DCR,38,0.937,0.22876066666666667,343.141
Synthetic,RANKNET,VA,500,1000,MDCR,38,0.937,0.22878933333333334,343.184
Synthetic,RANKNET,RA,500,1000,DCR,39,0.921,0.23580600000000002,353.709
Synthetic,RANKNET,RA,500,1000,MDCR,39,0.921,0.23580600000000002,353.709
Synthetic,RANKNET,VA,500,1000,DCR,39,0.933,0.22131133333333333,331.967
Synthetic,RANKNET,VA,500,1000,MDCR,39,0.933,0.22192866666666664,332.893
Synthetic,RANKNET,RA,500,1000,DCR,40,0.927,0.2419093333333333,362.864
Synthetic,RANKNET,RA,500,1000,MDCR,40,0.927,0.2419093333333333,362.864
Synthetic,RANKNET,VA,500,1000,DCR,40,0.932,0.23032066666666667,345.481
Synthetic,RANKNET,VA,500,1000,MDCR,40,0.932,0.229928,344.892
Synthetic,RANKNET,RA,500,1000,DCR,41,0.89,0.21981333333333336,329.72
Synthetic,RANKNET,RA,500,1000,MDCR,41,0.89,0.21981333333333336,329.72
Synthetic,RANKNET,VA,500,1000,DCR,41,0.897,0.208702,313.053
Synthetic,RANKNET,VA,500,1000,MDCR,41,0.897,0.20844800000000002,312.672
Synthetic,RANKNET,RA,500,1000,DCR,42,0.916,0.23168799999999998,347.532
Synthetic,RANKNET,RA,500,1000,MDCR,42,0.916,0.23168799999999998,347.532
Synthetic,RANKNET,VA,500,1000,DCR,42,0.943,0.23248466666666665,348.727
Synthetic,RANKNET,VA,500,1000,MDCR,42,0.942,0.2321353333333333,348.203
Synthetic,RANKNET,RA,500,1000,DCR,43,0.894,0.21909,328.635
Synthetic,RANKNET,RA,500,1000,MDCR,43,0.894,0.21909,328.635
Synthetic,RANKNET,VA,500,1000,DCR,43,0.896,0.20637066666666665,309.556
Synthetic,RANKNET,VA,500,1000,MDCR,43,0.894,0.20475266666666667,307.129
Synthetic,RANKNET,RA,500,1000,DCR,44,0.883,0.21353333333333335,320.3
Synthetic,RANKNET,RA,500,1000,MDCR,44,0.883,0.21353333333333335,320.3
Synthetic,RANKNET,VA,500,1000,DCR,44,0.896,0.203978,305.967
Synthetic,RANKNET,VA,500,1000,MDCR,44,0.895,0.20375466666666667,305.632
Synthetic,RANKNET,RA,500,1000,DCR,45,0.899,0.22358533333333333,335.378
Synthetic,RANKNET,RA,500,1000,MDCR,45,0.899,0.22358533333333333,335.378
Synthetic,RANKNET,VA,500,1000,DCR,45,0.913,0.21620399999999998,324.306
Synthetic,RANKNET,VA,500,1000,MDCR,45,0.913,0.21604733333333334,324.071
Synthetic,RANKNET,RA,500,1000,DCR,46,0.918,0.23215333333333335,348.23
Synthetic,RANKNET,RA,500,1000,MDCR,46,0.918,0.23215333333333335,348.23
Synthetic,RANKNET,VA,500,1000,DCR,46,0.927,0.22273266666666666,334.099
Synthetic,RANKNET,VA,500,1000,MDCR,46,0.927,0.22346133333333335,335.192
Synthetic,RANKNET,RA,500,1000,DCR,47,0.924,0.23667133333333334,355.007
Synthetic,RANKNET,RA,500,1000,MDCR,47,0.924,0.23667133333333334,355.007
Synthetic,RANKNET,VA,500,1000,DCR,47,0.932,0.2246726666666667,337.009
Synthetic,RANKNET,VA,500,1000,MDCR,47,0.932,0.22485866666666668,337.288
Synthetic,RANKNET,RA,500,1000,DCR,48,0.9,0.22331933333333331,334.979
Synthetic,RANKNET,RA,500,1000,MDCR,48,0.9,0.22331933333333331,334.979
Synthetic,RANKNET,VA,500,1000,DCR,48,0.923,0.21975399999999998,329.631
Synthetic,RANKNET,VA,500,1000,MDCR,48,0.923,0.22082866666666667,331.243
Synthetic,RANKNET,RA,500,1000,DCR,49,0.944,0.25231333333333333,378.47
Synthetic,RANKNET,RA,500,1000,MDCR,49,0.944,0.25231333333333333,378.47
Synthetic,RANKNET,VA,500,1000,DCR,49,0.945,0.23149533333333333,347.243
Synthetic,RANKNET,VA,500,1000,MDCR,49,0.945,0.231428,347.142
Synthetic,RANKNET,RA,500,1000,DCR,50,0.931,0.23964533333333335,359.468
Synthetic,RANKNET,RA,500,1000,MDCR,50,0.932,0.24081533333333335,361.223
Synthetic,RANKNET,VA,500,1000,DCR,50,0.947,0.2295846666666667,344.377
